               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.039429,            0.036199,           0.0049747,             0.84434,             0.85108,             0.88485,             0.42456,            0.039418,            0.027717,           0.0063343,            0.001266,            0.001266,            0.001266
                  91,            0.039487,            0.036429,           0.0049338,             0.87953,             0.81366,             0.88668,             0.43152,            0.038946,            0.027619,           0.0060021,           0.0012202,           0.0012202,           0.0012202
                  92,            0.038771,            0.035186,           0.0049415,             0.87484,             0.81538,             0.88024,             0.42887,            0.038851,            0.027662,           0.0064463,           0.0011787,           0.0011787,           0.0011787
                  93,            0.039496,            0.036067,           0.0049291,             0.86744,             0.82509,             0.88422,             0.43013,            0.038987,            0.027644,           0.0062357,           0.0011414,           0.0011414,           0.0011414
                  94,            0.039271,            0.036639,           0.0051145,             0.85208,             0.84762,             0.89244,             0.43232,            0.038777,            0.027474,           0.0059593,           0.0011084,           0.0011084,           0.0011084
                  95,            0.039116,            0.035584,           0.0051764,             0.87411,              0.8272,             0.89019,             0.43231,            0.038941,            0.027534,           0.0058661,           0.0010797,           0.0010797,           0.0010797
                  96,            0.039253,            0.035874,           0.0051731,             0.87434,             0.82908,             0.88874,             0.43466,            0.038841,             0.02743,           0.0059481,           0.0010554,           0.0010554,           0.0010554
                  97,            0.038893,            0.036112,           0.0051252,              0.8907,             0.81969,             0.88937,               0.431,            0.038883,            0.027496,           0.0059349,           0.0010355,           0.0010355,           0.0010355
                  98,            0.039327,            0.035628,           0.0050654,             0.89212,             0.81814,             0.88867,              0.4282,             0.03903,            0.027516,           0.0058833,             0.00102,             0.00102,             0.00102
                  99,             0.03894,            0.036279,            0.004929,             0.87037,             0.82567,             0.88859,             0.43144,            0.038892,            0.027466,           0.0058409,           0.0010089,           0.0010089,           0.0010089
